"id","system","sector","region"
"40d78752-6393-4220-87f5-2ef283328a2b","Abregado","","Core Worlds"
"a9376c6e-aa02-4538-af45-624b83cdf74e","Abridon","Koradin","Outer Rim"
"3cb26b9a-ca89-415c-ba09-15c53b482101","Abrihom","Rayter","Outer Rim"
"67f9081f-c128-4eb6-93c9-d401cc4d25ee","Abrion Major","Abrion","Outer Rim"
"44336e6b-d1aa-496b-97dc-0309af9f027e","Absanz","Allied Tion","Outer Rim"
"317b8fca-2169-4fd2-9403-23117827d79e","Absit","Tunka","Outer Rim"
"490a8092-097e-4307-a168-8c8cd87c2517","Abyss","Ash Worlds","Outer Rim"
"ccbfb9a5-3acd-4775-b0ab-0f77d1d74780","Acachla","","Colonies"
"7a3f7852-30dd-4349-834d-8f6c9c8ad55e","Ac'fren","Calaron","Outer Rim"
"f2ef27d0-1aff-455b-a9a4-d070acf4b461","Achillea","Tapani","Colonies"
"cf1f8ec2-b396-4696-bea1-a0e937cb6468","Acomber","","Colonies"
"246f89c0-cbe8-4a78-90f6-cdaead232a77","Actlyon","Jjannex","Outer Rim"
"a0e2ef68-b0a8-49a9-892c-3788191d9851","Adalog","Mytaranor","Mid Rim"
"b09045e1-fadb-467e-985d-c29643b45e3d","Adamastor","","Core Worlds"
"1debe3e2-141a-404e-a015-eff819e48ae1","Adana","","Deep Core"
"47754001-e589-457a-9813-16073d6aa9ce","Adari","Adari","Inner Rim"
"cdd1bd0f-f8ee-47c5-8d20-9ddff5708823","Adarlon","Minos Cluster","Outer Rim"
"365ce5e3-d522-41e0-83d4-d737bbfbc274","Adega","Auril","Outer Rim"
"5653d507-1a7a-4c83-ae5f-9f4d6abf0abc","Adelphi","Kibilini","Outer Rim"
"f2e8a899-8e38-4db6-b5a4-049768ca1cfa","Adikaria","","Core Worlds"
"00651a5b-6e99-4790-bc63-e387f920a37e","Adim","Adari","Inner Rim"
"7a98562a-06a7-4cce-bc18-e7f092b19344","Adin","Lostar","Expansion Region"
"b807b75d-bf9f-4c60-b583-a2dd3a6603ae","Adinax Nebula","Semagi","Mid Rim"
"be61c87e-4edf-46d5-9b0e-8d9f0d5b0ffe","Adner","Yataga","Expansion Region"
"014cdf78-f546-4bbf-b68e-19ae8adf4f89","Adoris","Senex","Mid Rim"
"8b7f6cc8-79d6-459b-84e2-81e01768e803","Adras","Seswenna","Outer Rim"
"6f3701cd-1b38-4f1e-ba4f-aaab0cdbe1f3","Adratharpe","","Mid Rim"
"def77600-a0ba-4d87-b0ed-d6685384d41c","Adrathorpe","","Wild Space"
"7b449c5f-2701-40e9-920d-d73dd84b6ced","Aduba","Bheriz","Outer Rim"
"01fcf234-900f-486a-8280-873c1790e9af","Adumar","","Wild Space"
"fa8882bc-640a-4301-8e78-b7faa4c3ccb7","Aefao","Corosi","Outer Rim"
"343a9bf8-c7c8-4ee4-9d97-f91ce33a118f","Aeneid","Kessel","Outer Rim"
"67de0547-d2e3-4822-880f-5df9dd176f32","Aeos","Chopani","Outer Rim"
"3db11c3f-8f82-4a8a-bcef-595ef6cf1b98","Aesolian","","Wild Space"
"c67fdae6-cb6f-4d36-9191-e536f8fc5562","Aestilan","Demetras","Outer Rim"
"cc1a1897-ed05-4850-acd2-6601a451785f","Aeten","","Wild Space"
"3a9995e2-b515-49a1-9a66-2f471e04ee85","Affa","","Inner Rim"
"9d987663-5a51-4756-bfe3-88590514a9df","Affadar","Fellwe","Expansion Region"
"de603f77-7032-46d3-98c0-78addfbc5cc0","Affavan","","Hutt Space"
"97fca8f8-1d8b-411d-96b6-290cd0ac96a8","A-Foroon","Arkanis","Outer Rim"
"eabcfb60-7a82-4366-b91c-a0385e3c37ec","Agamar","Lahara","Outer Rim"
"0af09640-3ed6-4006-a756-3416ce99f678","Agaris","Quence","Wild Space"
"0e085a90-41ef-4806-8331-f0f99603813f","Agash","Great Agash","Expansion Region"
"44811028-063b-48b0-828a-f1df61c92469","Agoliba-Tu","Veragi","Outer Rim"
"d144a020-6dd2-48c6-bc51-1651702a2db0","Agomar","Seswenna","Outer Rim"
"48c59c77-61fd-4684-8c37-2f6c7384c1c7","Agon","Ash Worlds","Outer Rim"
"5ccb1a0c-cf20-4550-a22e-b444a956a945","Agora","Sluis","Outer Rim"
"a4b531e1-e1d6-46a1-84e4-52ecaa0e4fa0","Agridorn","","Colonies"
"c54de3ab-d9f7-4250-9cd3-20eb0a06771c","Agriworld-2079","M'shinni","Mid Rim"
"7242c470-84b2-45b4-8e1a-80d656397c8a","Aguarl","Mbandamonte","Expansion Region"
"1eb22a81-2d86-459b-bcf4-4ad09dcaf7ef","Ahakista","Myto","Outer Rim"
"e9bf5bda-821b-476c-94fe-8ec98a4f742a","Ahch-To","","Unknown Regions"
"1e718863-afd3-4ea2-907c-6138b263ebc8","Ahlenn","","Outer Rim"
"e400b50c-36aa-47bf-a22e-119379ca9f59","Ahn Krantarium","Esuain","Mid Rim"
"d35d71c8-7fe3-414b-86c9-ca04e44da87f","Aida","Aida","Mid Rim"
"f5d5eb99-b118-40b7-939b-0ec3c5000159","Ai'ken Prime","","Inner Rim"
"6397b3a9-4ef1-4a40-b68d-672e705bca44","Aikhibba","Fei Hu","Mid Rim"
"302d5340-f334-4b64-bad5-93b5f1eb5993","Ailon","","Inner Rim"
"d8a4e575-3662-4a4e-8701-67f34f3335dc","Aiqin","Airam","Outer Rim"
"6fa429e0-01cc-4a3c-8611-12334d733ba7","Ajan Kloss","Cademimu","Outer Rim"
"91050556-643a-4561-8ab5-a4dfcac29e00","Ajara","Cademimu","Outer Rim"
"3455d0f1-e47d-4649-b377-70c553f91db9","Ak-Hurst","Tarabba","Outer Rim"
"9f5ddbab-6aaa-4639-8cf3-71badf7bfff1","Akiva","Meerian","Outer Rim"
"89b62368-956b-4baf-afea-35b640fd403d","Akkadese Maelstrom","Kessel","Outer Rim"
"708bb5ca-2af1-4a28-8ed6-8dbdd83648e4","Akrit'tar","Calaron","Outer Rim"
"d619fb59-bb62-431f-bf5f-6039cf3e103d","Akuria","Oplovis","Outer Rim"
"8c2a5e13-d75b-43d2-97a4-43a291be8052","Alabash","Fakir","Colonies"
"ad59d9f8-9540-4cb6-81df-9ab5bddaadc4","Alagon","Tennuutta","Mid Rim"
"ed2becc2-52a3-4557-bc3a-bbb5a15e65fd","Alakatha","Var Hagen","Mid Rim"
"ac9f193a-eb9f-4059-bfd5-5aa273ee7659","Alamass","Calaron","Outer Rim"
"72b34f69-aff5-4352-ac59-e0113a810880","Alarevi","Gaulus","Outer Rim"
"cedb5aeb-3deb-4162-a2cb-46ede93076b6","Alashan","","Wild Space"
"25f09d38-d035-4ada-9817-695b92dbdb47","Alaspin","Suolriep","Outer Rim"
"3f1b62a3-8ada-43de-88d2-eb1d4284fbcb","Alassa Major","Vilonis","Mid Rim"
"91289b01-5923-40e9-b982-a7189feea815","Alba","Belsmuth","Outer Rim"
"58de73d3-93b3-41e6-a878-165f159524a5","Albarrio","Albarrio","Outer Rim"
"c12774f3-ba56-4702-8c82-3c96f2c622a8","Albecus","","Core Worlds"
"726636f2-bcc5-471c-9b18-1d7f711374c7","Albrae-Don","Sern","Colonies"
"3e4a4dbf-fcf9-40ea-a83c-7c35698f99ce","Alchenaut","Alchenaut","Expansion Region"
"d9289f1b-117d-4e7a-a28b-baf4bf0ed201","Alderaan","Alderaan","Core Worlds"
"946aa0c7-eb71-4637-a967-d654d3959b12","Alderath","Alderath","Mid Rim"
"f7e3c71e-41b4-46e4-a0cb-82eda9700002","Alderbathe","Churnis","Mid Rim"
"2956b9a6-3026-4d5b-ace3-1d2987c92e8e","Aldereen","","Inner Rim"
"73b51c8a-31cc-4942-b6f1-a4f3e46e3ad8","Aldhani","Cademimu","Outer Rim"
"b837d8b7-6574-4a4d-ab3b-25f84e2c9799","Aldin","Aldino","Mid Rim"
"81cf7383-a94d-47ca-8aca-560b639ac36b","Aldivy","Illisurevimurasi","Outer Rim"
"aef37d85-e0fb-45e1-b5b7-58cd1c7645ab","Aldo Spach","Jospro","Outer Rim"
"952aa762-16f5-407d-952d-be5080eb26a3","Al'doleem","Hune","Mid Rim"
"84590a1f-1992-47de-834f-8933856e345a","Aldraig","","Core Worlds"
"adec30da-b356-48ca-b960-4879b2285cb3","Alee","","Hutt Space"
"a239262d-0b6e-4c36-beb9-458405db06fa","Aleen","Bright Jewel","Mid Rim"
"d32587c8-97bb-49dc-b5a5-16b2e762fbeb","Aleen Minor","","Inner Rim"
"c64d4dae-7265-4c37-9979-972fc2044106","Aleron","Tapani","Colonies"
"f27d056c-7a5e-4123-b800-90d12038dedf","Alfestril","","Inner Rim"
"37e07d34-5b88-46f8-a2aa-1f705b31b7d1","Algara","Lambda","Mid Rim"
"9061806c-e455-46b5-9878-0cb0cab969c7","Algaran","Dufilvian","Mid Rim"
"93f909d7-9934-4c79-86cf-b51081f2ab91","Algarian","Dufilvian","Mid Rim"
"2c11a550-7aa2-41f2-81a6-e87f2b653a03","Algarra","Thrasybule","Outer Rim"
"e92ab04b-41da-4e47-9751-925a6c2d3aba","Algnadesh","Hapes Cluster","Inner Rim"
"c7649dda-5d20-4141-b709-a90e8b5cae1f","Algor","Cronese Mandate","Outer Rim"
"043573fd-f780-4f93-86fc-19470300a1da","Algunnis","Trax","Mid Rim"
"580b30b0-e5fd-4b69-87c5-b1dc7dda234d","Alion","","Inner Rim"
"e56a95fd-7155-4a19-af78-27ee100058eb","Alios","Rachuk","Colonies"
"b9c7a56a-651f-4988-8813-37de00c63428","Alis Point","Tamarin","Outer Rim"
"68ab3345-1614-4a90-829d-164d6d206617","Alisandor","Tapani","Colonies"
"f9085cad-0d4b-433c-8dfd-9d1713776da9","Alkenak","","Core Worlds"
"d580f30d-add8-499d-b882-2bd549a89985","Alk'Lellish","Sumitra","Expansion Region"
"7269bf33-9c56-44e1-8694-e0658c528bae","Alland","","Core Worlds"
"7417a860-6029-4f85-ae06-794666d548dc","Allandor","Tapani","Colonies"
"46186173-d6f2-46ed-b7e2-df76779d989f","Allanteen","Tynna","Expansion Region"
"283036f0-9b1c-4161-86fd-83e484e98a6d","Alliga","Phelleem","Outer Rim"
"72cc2fb5-0754-4094-ac31-a96a60594525","Allst Prime","Taldot","Mid Rim"
"be8c2401-6da1-4080-b9a5-566d65fe8d6e","Alluuvia","Elrood","Outer Rim"
"b5799912-f951-4714-b0e1-683c45296e4c","Allyuen","Javin (Anoat)","Outer Rim"
"a70c4402-83c8-48d4-9212-aef9e41f7716","Almagest, The","","Inner Rim"
"420c10c9-84cf-4a74-bc8d-65a96d723e7d","Almak","Almak","Mid Rim"
"adde1638-01b8-4656-aac6-6d36bc957388","Almakar","","Inner Rim"
"e3bf7cb0-2c2c-48f6-8304-9ee65db1669a","Almania","Mortex (Almanian)","Outer Rim"
"364d3f5a-9316-40f4-a152-3e9d80c3c16f","Almar","Elrood","Outer Rim"
"0a626fef-2d83-4df1-a4dd-013354a1b7b7","Almera","","Inner Rim"
"314a39bb-b8b7-4908-953e-f7b5965eec03","Aloxl","","Deep Core"
"eb643935-aab0-4a68-b372-6c464ddaab1b","Aloxor","Kontahr","Mid Rim"
"c0687938-97ca-41d3-8832-0b4fb0a6e073","Alpheridies","Farstey","Expansion Region"
"c6a77245-7995-4a73-9cd7-3d297c442669","Alphoresis","Grumani","Outer Rim"
"87806c55-0b06-41c7-9094-6e0cfa53626a","Alpinn","Kanz","Outer Rim"
"bb0cff5c-739a-4051-ba77-23a394e194d2","Alsakan","Alsaka","Core Worlds"
"ed5691bf-73c4-490d-8070-111df772229e","Altair","Thrasybule","Outer Rim"
"489f50c2-71a3-40e1-9cfd-25c0f7e970a2","Altano","Piryn Shar","Expansion Region"
"8e727a5d-ee27-4fc5-80d6-126f51e25763","Altarrn","Glythe","Mid Rim"
"7042f730-61cc-4eb9-8cf8-2674901aa20a","Altawar","Corellian","Core Worlds"
"445b7244-450f-4fad-b363-fbd9438b319e","Althir","Rolion","Outer Rim"
"e6f30ff0-4d72-49de-b823-859dc68936a0","Altier","Altier","Expansion Region"
"b5434319-6039-4201-82e9-19de36f91592","Altikar","Toblain","Outer Rim"
"2ffc3a0e-fe76-4c9e-960b-ac3e346f09be","Altooni","Corellian","Core Worlds"
"da1da822-fde2-479c-abaa-0584ca15d0e9","Altor","Zoraster","Outer Rim"
"341965a1-e958-4774-816f-3e8eccefc230","Altora","Dalonbian","Outer Rim"
"da7913f1-f1ad-4623-b6bf-9dde4f8320fd","Altratonne","Ash Worlds","Outer Rim"
"387920eb-b826-4473-a12d-421e3dba4039","Altunna","Cassander","Outer Rim"
"d6b6d32c-7612-42e0-ab7b-f4871e48cd01","Altyr","Morshdine","Outer Rim"
"bed2120b-d9e0-4213-ab7e-67249da54707","Aludia","Trilon","Outer Rim"
"543092e7-a3de-4bd5-bbd5-c2644454fde6","Alui","Alui","Mid Rim"
"9517ce0b-05ef-4651-b8c3-e44d7426d3fa","Alun","Oriolan","Mid Rim"
"b2d54aab-f8a5-499e-9f68-c1a9ff9396e7","Alurion","Raioballo","Outer Rim"
"bf98d7c2-1d66-45c8-ae29-a46ba77dd35d","Alvorine","Yminis","Outer Rim"
"68e8b872-fd7c-49a3-8681-81834155ade6","Alzar","Thanium","Outer Rim"
"ea5a00fc-f580-4582-9ad6-0b486dcd2819","Alzoc","Sujimis","Outer Rim"
"860ce9d7-bc17-49ff-9296-87846898494f","Amaltanna","Kanz","Outer Rim"
"5e7899f7-3817-4328-8deb-908437db06cf","Amar","Airon","Inner Rim"
"57d97ba6-33ec-49aa-908e-259f3d229684","Amarin","Allied Tion","Outer Rim"
"e91da895-9266-4804-a887-730b7777c2aa","Amaxine Station","Tunka","Outer Rim"
"61efdaa8-0567-44af-94dd-e3fd905d00c8","Ambria","Airon","Inner Rim"
"67887b19-e16b-421d-8671-a985af268ea1","Amethia Prime","","Inner Rim"
"9a77afbd-5ab6-45de-b950-d0fff3d462b0","Amfar","","Inner Rim"
"599d732a-8ff7-4afa-85d2-392c50578074","Ammon","Ciutric","Outer Rim"
"118d063e-48f4-4ab2-a804-d5a22968fa9e","Ammuud","Corporate Sector","Outer Rim"
"ec712ce1-0f66-4b85-9d5b-e6c895aae904","Amorphiia","Eidoloni","Mid Rim"
"890e1cc8-6bfd-4dd3-96fd-010b6341dcc5","Amorris","Quelii","Outer Rim"
"b00f26f2-2557-4495-9ef4-edb6d2f5756a","Ampliquen","Meridian","Outer Rim"
"dd94f725-e5ba-4035-ac3d-699ff2ef9022","Anadeen","","Inner Rim"
"de920c55-e2b9-4bed-97c4-38ba6cbb4134","Anantapar","Javin (Yarith)","Outer Rim"
"e90683e2-d24d-49a0-802f-8f2e60cd25f9","Anarak","Wyl","Outer Rim"
"daeb0fc4-ad76-433d-9681-9e53dceefc68","Anaxes","Antemeridian","Outer Rim"
"e0571cc5-a1f6-46cc-8dba-ae5fa4868270","Ancathia","Albarrio","Outer Rim"
"3f9860e2-5cd2-4e23-a350-ead976cf4600","Anchoron","Mayagil","Outer Rim"
"df56c7bf-2ed3-4a8b-b12d-afa121287569","Andalia","Hapes Cluster","Inner Rim"
"ecfd7a59-0e01-4a4c-89cc-d5992ffe5e51","Andara","","Core Worlds"
"99c739f8-fdc5-4fe4-958a-3088fa31fab4","Andaran","","Core Worlds"
"83f595f0-cf5b-4416-801c-36f5d03e604a","Andasala","Cor'ric","Outer Rim"
"c18524ac-de5a-4b03-bf4a-d5650427bcb0","Andelm","Svivreni","Outer Rim"
"300fa50c-da9e-4afd-982e-ca3a360264b4","Ando","Lambda","Mid Rim"
"c23f35db-6eda-475a-8bed-9ce0f4963de7","Andooweel","Arkanis","Outer Rim"
"8f3c619c-9081-4824-8b86-2ab318bf8bed","Andosha","Lambda","Mid Rim"
"1b725309-7fa3-4e7d-97da-4c5c76c1d354","Andraven","Wazta","Outer Rim"
"14ad7abc-a1dc-4cdd-b8ef-11a5f2e3f3f6","Andulia","Doldur","Mid Rim"
"7312a217-3019-4342-8fd9-6b7bbb5dd620","Andurkoss","Nouane","Inner Rim"
"da033065-adb7-435f-93c1-55d7c961a48d","Anduvia","Immalia","Expansion Region"
"4ea9f246-bb32-49a1-ad30-10fd1cfefd9a","Anelsana","Farstey","Expansion Region"
"f6e18e3d-cd37-4fde-92a0-247d277c6632","Anemcoro","Albarrio","Outer Rim"
"dc5f0178-2467-43ca-86bf-8514c0dc1677","Anga","Sarka","Mid Rim"
"ea153ab6-708a-4013-b075-be7ffd449f43","Angeria","Venaarian","Mid Rim"
"2ee1b6c9-b296-4346-a55c-99fcbf42de4a","Angor","Myto","Outer Rim"
"e4cbc9ef-d3c5-4578-893f-5d3afa9fd6d3","Angrallia","Fath","Outer Rim"
"38a6cbef-23f6-431e-aaef-14943fe31645","Angratha","Senex","Mid Rim"
"e9441cb7-6113-45a3-be12-d4b07bc9e5c7","Anic","Xan","Mid Rim"
"8b341877-f3cc-4b6d-aa9c-dffe91651133","Ank Ki'Shor","Indrexu","Outer Rim"
"c9078fa1-e7ed-45ce-b376-471af57bafec","Ank Kit'aar","Druess","Mid Rim"
"c6d7365f-82df-4b83-859c-e575c056885e","Ankhural","","Hutt Space"
"326c515d-c20d-4503-a310-34bc6882c53e","Ankori","Kossa","Expansion Region"
"22d1a8d9-02dd-4f05-b2f4-e5b20b580a8c","Ankot Station","Brema","Outer Rim"
"1c53946d-83b2-4258-943e-1aa62fa6e1e2","Ankus","","Mid Rim"
"4ebf052f-9b91-41ec-b437-d85c096e4e91","Annaj","Zuma (Moddell)","Outer Rim"
"390cb76d-7fcb-4f4e-a714-7cdf39392d83","Annamar","Bes Ber Bikade","Expansion Region"
"d718b7c4-0ba5-4e14-a6fd-d7a37469ec62","Annoo","Tharin","Outer Rim"
"0be79f8d-8e05-429c-8222-0e8ce77b54ab","Anoat","Javin (Anoat)","Outer Rim"
"3458030f-6a88-40f0-a4c7-da7def210530","Anobis","Bright Jewel","Mid Rim"
"24b6a7f4-979c-4ff8-accb-3b9f20b7af1d","Anorelga","Braxant","Outer Rim"
"8b712542-1a40-4fc4-860f-ef013004f89e","Anoth","","Wild Space"
"5b8d7be5-2cab-430e-bc29-8551e43a66af","Ansarra","Iskin","Mid Rim"
"41aeee97-289d-4147-8390-b8fa1e86bedb","Ansata","","Core Worlds"
"63e9f96a-8faa-42a0-9e81-737a70b0b798","Ansek","Eidoloni","Mid Rim"
"b09ce062-5087-49ba-b85a-bac5c1c1dd62","Ansett","Ciutric","Outer Rim"
"cbaac8d7-fc7e-4fbf-9641-cd6e7a01b8c8","Ansillivog","Majoor","Expansion Region"
"509781af-5124-4194-8577-68166b4bf461","Ansion","Churnis","Mid Rim"
"38b3a905-db47-49e1-845b-92ee6de5735d","Anstares","Juvex","Mid Rim"
"b862cb64-aa57-4794-a698-81a9b467378d","Antakaria","Bothan Space","Mid Rim"
"98adb1a1-08c0-4cab-aeec-f78a6fb5ef5a","Antamont","Meridian","Outer Rim"
"09f8b2a7-4692-4e2e-a88c-9bd2f7efe331","Antar","","Inner Rim"
"5b61b84b-88a0-44b1-ad1f-e45558dd7aa5","Antared","Esstran","Outer Rim"
"7e7df788-b07f-4e0a-9ef8-3d9212bfb8b8","Antares","","Inner Rim"
"da258540-a8d8-4f19-bc56-f5f1d8abadab","Anteevy","Esuain","Mid Rim"
"305db112-9892-48ec-99e1-4ada0e6ed3e7","Antemeridias","Antemeridian","Outer Rim"
"4d556cfa-4b17-45df-a7f0-125c53b40dc1","Anthan","Braxant","Outer Rim"
"2ca9ccdc-488f-41ad-9f0a-83f784da4f3a","Anthus","Brema","Outer Rim"
"8deead87-ab31-4c24-a4ba-e6a37fa05c83","Antillion","D'Astan","Outer Rim"
"eac5087e-d225-4cb3-bdb3-e1dc7518aa64","Antine","","Outer Rim"
"a0a65162-bff1-4b89-a557-e910f1267455","Antipose","Centrality","Outer Rim"
"1785ec30-15fe-429b-b0e9-37482bb7b78d","Antiquity","Senex","Mid Rim"
"2c715c99-433c-4dc4-9b13-d297926b669f","Antmuel","Chopani","Outer Rim"
"940fe26a-dfe9-4030-afb0-cd98e5006679","Antolus","Sarka","Mid Rim"
"62c1dc28-52db-40bc-aee7-3c619ae5dd55","Anto's Star","Saijo","Outer Rim"
"88a86a5a-1a47-4f4a-9d5b-99324876edae","Anturus","Senex","Mid Rim"
"dba99848-575c-458e-a750-ed6615a0003a","Anukara","Prackla","Expansion Region"
"6958441e-e406-4581-bbf6-679e7288b64b","Anx Minor","Raioballo","Outer Rim"
"6df4a850-4416-4f24-a45c-ba63a6a8649c","Anzat","Bryx","Mid Rim"
"78f4598f-72f8-4c07-bf47-17280fb71947","Anzell","Bryx","Mid Rim"
"7e654863-1236-46ab-b459-6ed89f2212ca","Aostai","","Wild Space"
"277761b4-5463-4a4e-909c-8a0f84a2a820","Apatros","Savareen","Outer Rim"
"4c186526-9042-4ba9-add9-b4633649738e","Apgar","Hilo","Expansion Region"
"4a1c1b03-58b6-4423-b61e-c35a7bef1c85","Aphran","","Inner Rim"
"dc97020e-b37e-4d78-bd8c-e18d2daaa25f","Apiliria","","Wild Space"
"598dde5d-1248-4458-9008-7425ab8e4242","Aplooine","Grumani","Outer Rim"
"1c75a0d1-ff39-4f3a-b603-4706b02bd153","Apoka","Dohlbani","Mid Rim"
"a7950dca-aeb3-45aa-b6c8-9ae2a1e9f0de","Aq Vetina","Relgim","Outer Rim"
"5d15df73-48c1-43a5-a00c-23f6d32a16e5","Aquaris","Sumitra","Expansion Region"
"5386505a-e2b1-4d51-908e-7e8ccb61491b","Aquella","Senex","Mid Rim"
"03fb4c95-8302-4e38-a216-2337fe2a2660","Aquilae","","Colonies"
"3741c82f-67eb-4aa9-8017-3453e5d3d94f","Aquilaris","Sanbra","Outer Rim"
"d149df83-9113-4bc3-81d5-8056b1095e7f","Aquilaris Minor","Grumani","Outer Rim"
"eaa5dfe1-cf02-44d9-821a-1aff9f137f01","Arabanth","Hapes Cluster","Inner Rim"
"129a6dbd-14e6-47e5-841e-9eea0b4aa987","Aradia","","Core Worlds"
"493faf1c-5369-4545-b49a-b62de51f0431","Arah","Dantus","Outer Rim"
"914d2d62-d5a0-4214-a82c-901ab54835cb","Arakein","","Inner Rim"
"ca4d92c7-0884-416d-b47b-6aa175b5b564","Aralia","Antemeridian","Outer Rim"
"a0c6910c-6e09-4c6a-9c17-2dea1a60c76a","Aramal","Ryborean","Expansion Region"
"dbcd5eb4-5f74-4207-b5b1-6663866a3844","Aramand","Brak","Expansion Region"
"eda5edeb-7f21-4cfb-9b62-f6d87746d649","Aramanoo","Bheriz","Outer Rim"
"aa41f2bb-2006-46bc-ac35-5717555ab45b","Arami","Galov","Outer Rim"
"61c9de83-8cb5-4eb0-bc31-a3a65f5cd220","Arantara","Dalmar","Mid Rim"
"73621be0-3131-4f00-9cca-507cd10403d3","Arapia","Dalchon","Outer Rim"
"5ee92737-a38e-43fe-bdf6-9ccd9d976575","Arashar","","Inner Rim"
"a5a9ca43-26e7-48a7-9f9f-0aa51764808b","Arat Fraca","","Colonies"
"9ae5cb78-c1db-4d46-b3a8-777b91847b43","Arath","Tunka","Outer Rim"
"cb172053-4e07-49ba-a756-338e3c8bf0fd","Arbiflux","Dalonbian","Outer Rim"
"76a98837-99b8-4dbd-b8cb-374e3d8dbc4b","Arbooine","Arboo","Outer Rim"
"57e6506e-4b82-4d08-9a3b-3d936b6ff2c5","Arbra","Bon'nyuw-Luq","Outer Rim"
"78c1ef58-ca7d-4f8e-92ab-d088862597e3","Arbran","","Outer Rim"
"d6bb7607-1f39-4a75-b55c-7f6f19bb5889","Arbular","Lambda","Mid Rim"
"ba8bff4d-4683-405f-822b-51cbbfad3206","Arc of Eden","Immalia","Expansion Region"
"dc83ac5d-fcc8-454e-954a-45081b78cb4d","Arcadi","","Inner Rim"
"b171f11a-47d0-4c9f-9c1c-8822f67c6d40","Arcan","Cronese Mandate","Outer Rim"
"a2957e46-e7ae-4c29-ab3a-2592d70a8278","Arcana","Lahara","Outer Rim"
"a9797ca8-0dc4-4562-bec6-c8ddf61311a0","Archae Teuthis","Brevost","Expansion Region"
"66668cc6-763a-4033-8362-eb9de93c6d5a","Archais","Hapes Cluster","Inner Rim"
"cacd74a1-c12a-4cb9-b2b6-46c034b6db59","Archenar","Metatessu","Mid Rim"
"23de0253-5123-410a-9234-f02055f507a2","Archeon Nebula","Lothal","Outer Rim"
"c6fcbb71-699f-4584-b69e-4a7e55252897","Arcopola","Spadja","Outer Rim"
"aa978348-9c7b-48f6-855a-1c1df88ff390","Arcura","","Inner Rim"
"96b480fd-beff-472b-8da3-1ee643d22886","Arda","Gordian Reach","Outer Rim"
"2dac51c3-cdc4-4da4-ac9e-c58fa53516c1","Ardennia","Fath","Outer Rim"
"9ee6f6cd-e37e-4940-b88d-957e19b54f2b","Ardis","","Unknown Regions"
"5fdbb0e0-fb92-4f3e-bc1a-65389daf4249","Ardroxia","Elochar","Mid Rim"
"9e2bb19b-33cf-4043-bd8d-9b0957eae5f2","Ardru","Iseno","Inner Rim"
"d0cbde4f-bf0c-4a63-856f-fe956606355b","Argai","Cronese Mandate","Outer Rim"
"447d5a35-274f-4439-9b84-110dd1739f1e","Argai Minor","Haldeen","Colonies"
"577624ee-518d-4fed-b9d3-a5976a407b72","Argavat","","Colonies"
